student_id,ability
0,2.4732
1,6.0531936
2,3.7726834
3,7.235446
4,-7.3896003
5,3.5236287
6,-3.2011116
7,1.9295601
8,1.1715754
9,-1.0711833
10,-4.7475266
11,0.9541907
