student_id,ability
0,2.9269707
1,6.71146
2,4.5510826
3,6.435277
4,-5.6788907
5,3.4787126
6,-1.9318799
7,2.9366326
8,1.5173259
9,-0.36134785
10,-3.3283212
11,1.5575049
